"CHSI_State_Name","CHSI_State_Abbr","CHSI_County_Name","Injury","Cancer","Population","Homicide","Suicide","HIV","Heart Disease","Max_Type","Max_Value","id"
"Illinois","IL","Perry",2.38500232699794,2.730895364047,22815,0,0,0,2.68520603778178,"Cancer",2.730895364047,"17145"
"Illinois","IL","Piatt",1.62005128752359,2.53540184191328,16680,0,0,0,2.25565007823284,"Cancer",2.53540184191328,"17147"
"Illinois","IL","Pike",2.93927333457798,2.67928381910138,17099,0,2.14526780494162,0,2.17992285741174,"Cancer",2.67928381910138,"17149"
"Illinois","IL","Pope",2.66956495409188,3.41468276838767,4211,0,3.17829418669802,0,3.35109043170097,"Cancer",3.41468276838767,"17151"
"Illinois","IL","Pulaski",1.67643690680338,3.83831480881529,6794,0,2.85146038777687,0,3.81914002034418,"Cancer",3.83831480881529,"17153"
"Illinois","IL","Putnam",2.20358396679331,3.58264824909863,6094,0,0,0,2.94253406150072,"Cancer",3.58264824909863,"17155"
"Illinois","IL","Randolph",2.5203587507812,2.23515987686007,33122,0,1.55332191184114,0,2.11564145723068,"Cancer",2.23515987686007,"17157"
"Illinois","IL","Richland",1.23284344547011,2.58106031666687,15798,0,0,0,2.35371119380528,"Cancer",2.58106031666687,"17159"
"Illinois","IL","Rock Island",0,0,147808,0,0,0,0,"None",0,"17161"
"Illinois","IL","St. Clair",0,0,260067,2.21990738116927,0,0,0,"Homicide",2.21990738116927,"17163"
"Illinois","IL","Saline",1.41905157910742,1.94737746870834,26072,0,0,0,2.59892665630567,"Heart Disease",2.59892665630567,"17165"
"Illinois","IL","Sangamon",0,0,192789,2.16111481042609,0,0,0,"Homicide",2.16111481042609,"17167"
"Illinois","IL","Schuyler",1.55329041346321,3.22082037806553,7073,0,3.20006822378162,0,3.18811442781928,"Cancer",3.22082037806553,"17169"
"Illinois","IL","Scott",0,3.13996200115945,5412,0,0,0,3.2045000303072,"Heart Disease",3.2045000303072,"17171"
"Illinois","IL","Shelby",2.78852000651278,2.3949178700407,22322,0,0,0,2.06204025615644,"Cancer",2.3949178700407,"17173"
"Illinois","IL","Stark",2.19444842683881,3.14216859701748,6169,0,0,0,3.0901467448654,"Cancer",3.14216859701748,"17175"
"Illinois","IL","Stephenson",0,2.33531044320771,47965,0,1.45025087557789,0,2.07559612769703,"Cancer",2.33531044320771,"17177"
"Illinois","IL","Tazewell",0,0,129999,0,0.657594465788837,0,0,"Suicide",0.657594465788837,"17179"
